,szkoła,uniwersytet,biblioteka,księgarnia,szpital,klinika,apteka,posterunek policji,straż pożarna,ratusz,gmach sądu,poczta,bank,centrum handlowe,supermarket,sklep spożywczy,piekarnia,restauracja,kawiarnia,hotel,schronisko,budynek mieszkalny,budynek biurowy,fabryka,magazyn,muzeum,galeria sztuki,teatr,kino,sala koncertowa,stadion,centrum sportu,sala gimnastyczna,basen,park,zoo,akwarium,ogród botaniczny,kościół,katedra,meczet,synagoga,świątynia,centrum społeczności,centrum kultury,centrum kongresowe,stacja kolejowa,dworzec autobusowy,stacja metra,lotnisko,garaż parkingowy,stacja benzynowa,myjnia samochodowa,warsztat samochodowy,pranie,pralnia chemiczna,salon fryzjerski,fryzjer,salon piękności,spa,centrum opieki dziennej,przedszkole,plac gier i zabaw,centrum młodzieży,dom opieki dla osób starszych,schronienie,hotel,centrum informacji turystycznej
gare routière,0.08,0.15,0.15,0.08,0.08,0.08,0.15,0.22,0.15,0.15,0.15,0.08,0.08,0.19,0.15,0.20,0.15,0.23,0.23,0.15,0.23,0.11,0.13,0.15,0.08,0.15,0.21,0.23,0.08,0.20,0.08,0.07,0.18,0.15,0.15,0.08,0.23,0.25,0.15,0.23,0.15,0.08,0.08,0.15,0.20,0.22,0.20,0.22,0.15,0.15,0.31,0.12,0.11,0.20,0.23,0.18,0.19,0.15,0.13,0.00,0.17,0.15,0.12,0.24,0.14,0.23,0.15,0.19
station de métro,0.12,0.19,0.19,0.06,0.19,0.12,0.12,0.11,0.19,0.12,0.12,0.12,0.12,0.12,0.19,0.06,0.12,0.06,0.12,0.12,0.25,0.11,0.12,0.06,0.06,0.12,0.12,0.25,0.19,0.25,0.38,0.19,0.18,0.12,0.12,0.12,0.12,0.00,0.06,0.25,0.12,0.12,0.06,0.15,0.19,0.17,0.25,0.11,0.44,0.19,0.06,0.25,0.11,0.20,0.19,0.18,0.25,0.12,0.25,0.12,0.17,0.06,0.18,0.12,0.21,0.25,0.12,0.16
aéroport,0.12,0.18,0.10,0.10,0.00,0.00,0.12,0.17,0.31,0.12,0.10,0.12,0.00,0.12,0.18,0.13,0.00,0.09,0.11,0.12,0.20,0.00,0.07,0.12,0.00,0.00,0.21,0.12,0.12,0.27,0.12,0.36,0.12,0.00,0.25,0.25,0.12,0.12,0.00,0.12,0.12,0.12,0.00,0.15,0.13,0.17,0.20,0.17,0.17,0.00,0.19,0.12,0.17,0.15,0.12,0.06,0.19,0.12,0.20,0.12,0.13,0.09,0.12,0.12,0.14,0.18,0.12,0.13
parking garage,0.14,0.07,0.14,0.29,0.14,0.21,0.14,0.17,0.21,0.14,0.07,0.14,0.14,0.19,0.14,0.00,0.29,0.14,0.29,0.00,0.07,0.11,0.13,0.14,0.21,0.00,0.14,0.07,0.21,0.13,0.07,0.07,0.18,0.14,0.29,0.00,0.29,0.12,0.07,0.21,0.00,0.21,0.14,0.05,0.07,0.22,0.07,0.06,0.14,0.07,0.25,0.06,0.11,0.20,0.29,0.18,0.12,0.14,0.07,0.07,0.17,0.21,0.29,0.12,0.21,0.14,0.00,0.19
station-service,0.13,0.20,0.20,0.20,0.13,0.20,0.13,0.22,0.20,0.20,0.13,0.07,0.13,0.12,0.13,0.07,0.20,0.13,0.27,0.13,0.27,0.06,0.00,0.13,0.07,0.07,0.07,0.20,0.13,0.33,0.40,0.13,0.29,0.20,0.13,0.07,0.20,0.06,0.13,0.20,0.07,0.13,0.13,0.20,0.07,0.22,0.20,0.00,0.27,0.20,0.06,0.19,0.06,0.20,0.27,0.24,0.19,0.13,0.20,0.13,0.17,0.13,0.12,0.12,0.17,0.40,0.13,0.19
lavage de voiture,0.06,0.12,0.12,0.12,0.12,0.06,0.12,0.17,0.18,0.18,0.18,0.06,0.06,0.06,0.12,0.06,0.12,0.06,0.12,0.12,0.06,0.11,0.18,0.06,0.12,0.12,0.29,0.18,0.06,0.24,0.18,0.18,0.12,0.12,0.12,0.06,0.18,0.12,0.06,0.24,0.18,0.18,0.06,0.05,0.24,0.11,0.12,0.11,0.24,0.12,0.18,0.12,0.06,0.10,0.18,0.12,0.12,0.12,0.12,0.06,0.22,0.24,0.18,0.06,0.21,0.18,0.12,0.19
atelier de réparation automobile,0.06,0.16,0.12,0.16,0.12,0.12,0.12,0.19,0.22,0.12,0.06,0.09,0.06,0.22,0.16,0.16,0.19,0.16,0.16,0.09,0.12,0.12,0.16,0.06,0.09,0.09,0.22,0.12,0.09,0.19,0.16,0.22,0.19,0.06,0.09,0.06,0.19,0.16,0.06,0.16,0.09,0.09,0.12,0.22,0.16,0.22,0.12,0.22,0.16,0.12,0.25,0.16,0.19,0.16,0.19,0.16,0.12,0.06,0.19,0.06,0.19,0.16,0.19,0.12,0.12,0.16,0.09,0.16
lessive,0.00,0.27,0.20,0.00,0.00,0.14,0.00,0.11,0.00,0.00,0.10,0.00,0.00,0.12,0.18,0.20,0.11,0.18,0.00,0.00,0.10,0.11,0.13,0.00,0.00,0.00,0.21,0.14,0.14,0.13,0.14,0.14,0.12,0.14,0.00,0.00,0.12,0.06,0.14,0.00,0.14,0.00,0.00,0.15,0.07,0.17,0.07,0.11,0.08,0.25,0.06,0.06,0.06,0.10,0.29,0.12,0.12,0.00,0.13,0.14,0.13,0.27,0.18,0.12,0.10,0.18,0.00,0.10
teinturier,0.00,0.18,0.10,0.20,0.10,0.30,0.10,0.22,0.15,0.20,0.00,0.10,0.10,0.19,0.18,0.07,0.20,0.27,0.10,0.20,0.00,0.17,0.20,0.10,0.00,0.10,0.21,0.40,0.20,0.13,0.20,0.29,0.18,0.10,0.10,0.00,0.20,0.12,0.10,0.10,0.20,0.10,0.30,0.20,0.27,0.22,0.13,0.17,0.17,0.10,0.12,0.12,0.06,0.05,0.30,0.12,0.25,0.20,0.07,0.00,0.22,0.09,0.12,0.29,0.14,0.18,0.20,0.23
salon de coiffure,0.12,0.12,0.06,0.06,0.12,0.18,0.12,0.11,0.18,0.12,0.12,0.12,0.12,0.12,0.12,0.24,0.06,0.06,0.12,0.12,0.18,0.06,0.18,0.06,0.06,0.12,0.24,0.12,0.12,0.29,0.18,0.12,0.18,0.12,0.12,0.12,0.18,0.12,0.18,0.18,0.12,0.18,0.06,0.05,0.18,0.11,0.18,0.11,0.24,0.18,0.18,0.18,0.06,0.15,0.18,0.18,0.35,0.12,0.35,0.06,0.17,0.18,0.12,0.06,0.17,0.29,0.12,0.19
salon de coiffure,0.12,0.12,0.06,0.06,0.12,0.18,0.12,0.11,0.18,0.12,0.12,0.12,0.12,0.12,0.12,0.24,0.06,0.06,0.12,0.12,0.18,0.06,0.18,0.06,0.06,0.12,0.24,0.12,0.12,0.29,0.18,0.12,0.18,0.12,0.12,0.12,0.18,0.12,0.18,0.18,0.12,0.18,0.06,0.05,0.18,0.11,0.18,0.11,0.24,0.18,0.18,0.18,0.06,0.15,0.18,0.18,0.35,0.12,0.35,0.06,0.17,0.18,0.12,0.06,0.17,0.29,0.12,0.19
salon de beauté,0.20,0.20,0.13,0.07,0.13,0.20,0.20,0.11,0.20,0.13,0.13,0.13,0.13,0.00,0.20,0.20,0.07,0.07,0.13,0.13,0.13,0.22,0.13,0.13,0.13,0.13,0.27,0.20,0.07,0.27,0.13,0.13,0.24,0.13,0.07,0.07,0.13,0.06,0.07,0.20,0.20,0.20,0.07,0.10,0.07,0.11,0.20,0.11,0.27,0.13,0.12,0.25,0.06,0.10,0.13,0.18,0.44,0.07,0.40,0.13,0.17,0.07,0.24,0.06,0.21,0.27,0.13,0.13
spa,0.33,0.09,0.10,0.20,0.43,0.14,0.33,0.11,0.23,0.00,0.10,0.17,0.00,0.06,0.27,0.13,0.11,0.18,0.11,0.00,0.10,0.11,0.00,0.14,0.14,0.00,0.07,0.20,0.00,0.13,0.29,0.14,0.12,0.20,0.25,0.00,0.12,0.06,0.00,0.14,0.00,0.25,0.11,0.10,0.00,0.06,0.13,0.06,0.17,0.12,0.12,0.12,0.11,0.10,0.17,0.06,0.06,0.00,0.13,1.00,0.04,0.09,0.06,0.00,0.07,0.09,0.00,0.03
garderie,0.00,0.27,0.10,0.20,0.00,0.00,0.25,0.17,0.15,0.12,0.20,0.00,0.12,0.19,0.27,0.00,0.22,0.09,0.33,0.12,0.10,0.17,0.13,0.12,0.12,0.12,0.29,0.12,0.00,0.20,0.12,0.14,0.12,0.25,0.25,0.00,0.25,0.19,0.00,0.25,0.12,0.00,0.11,0.10,0.07,0.17,0.13,0.11,0.17,0.00,0.31,0.12,0.06,0.10,0.38,0.18,0.25,0.12,0.13,0.00,0.17,0.18,0.24,0.18,0.07,0.36,0.12,0.13
jardin d'enfants,0.06,0.12,0.19,0.19,0.12,0.19,0.19,0.06,0.19,0.12,0.06,0.06,0.12,0.06,0.12,0.06,0.19,0.12,0.25,0.06,0.06,0.22,0.12,0.12,0.12,0.06,0.12,0.19,0.12,0.12,0.19,0.06,0.12,0.19,0.12,0.00,0.06,0.12,0.06,0.19,0.12,0.12,0.19,0.10,0.00,0.06,0.06,0.11,0.19,0.06,0.12,0.19,0.11,0.15,0.19,0.24,0.12,0.12,0.19,0.06,0.22,0.12,0.12,0.06,0.17,0.19,0.06,0.16
aire de jeux,0.00,0.17,0.17,0.00,0.00,0.00,0.17,0.17,0.15,0.08,0.08,0.00,0.00,0.12,0.17,0.13,0.17,0.08,0.00,0.08,0.00,0.17,0.13,0.08,0.00,0.17,0.21,0.08,0.08,0.13,0.08,0.14,0.12,0.08,0.08,0.00,0.17,0.12,0.00,0.17,0.17,0.00,0.00,0.15,0.13,0.17,0.20,0.22,0.08,0.00,0.12,0.19,0.06,0.10,0.17,0.18,0.25,0.25,0.13,0.00,0.22,0.17,0.18,0.18,0.14,0.17,0.08,0.13
centre jeunesse,0.00,0.20,0.07,0.07,0.00,0.07,0.13,0.17,0.13,0.20,0.07,0.00,0.07,0.44,0.13,0.00,0.13,0.20,0.07,0.13,0.20,0.17,0.13,0.07,0.07,0.13,0.07,0.20,0.07,0.00,0.13,0.33,0.06,0.13,0.07,0.00,0.13,0.06,0.00,0.13,0.13,0.07,0.07,0.40,0.40,0.50,0.07,0.17,0.20,0.20,0.06,0.12,0.06,0.10,0.20,0.12,0.19,0.20,0.07,0.07,0.39,0.13,0.06,0.35,0.14,0.27,0.13,0.32
maison de retraite pour personnes âgées,0.05,0.15,0.10,0.10,0.08,0.08,0.08,0.18,0.23,0.13,0.08,0.08,0.05,0.18,0.15,0.13,0.13,0.13,0.10,0.08,0.13,0.13,0.15,0.08,0.10,0.08,0.15,0.10,0.08,0.18,0.13,0.15,0.13,0.10,0.05,0.05,0.10,0.13,0.05,0.10,0.10,0.13,0.08,0.18,0.15,0.23,0.18,0.18,0.15,0.10,0.21,0.15,0.15,0.18,0.10,0.13,0.21,0.08,0.15,0.05,0.18,0.13,0.15,0.15,0.18,0.15,0.08,0.15
abri,0.00,0.09,0.20,0.20,0.14,0.14,0.17,0.11,0.15,0.17,0.10,0.00,0.00,0.06,0.09,0.00,0.22,0.18,0.33,0.00,0.20,0.06,0.13,0.43,0.14,0.00,0.21,0.20,0.00,0.13,0.14,0.07,0.12,0.20,0.25,0.00,0.38,0.12,0.14,0.29,0.00,0.12,0.11,0.10,0.07,0.06,0.07,0.11,0.17,0.12,0.19,0.12,0.06,0.05,0.17,0.12,0.19,0.00,0.13,0.00,0.09,0.00,0.18,0.12,0.10,0.18,0.00,0.06
hôtel,0.00,0.18,0.20,0.00,0.29,0.00,0.33,0.17,0.00,0.17,0.10,0.00,0.00,0.12,0.09,0.07,0.00,0.09,0.00,0.80,0.10,0.11,0.07,0.00,0.00,0.17,0.07,0.00,0.00,0.07,0.00,0.07,0.06,0.20,0.00,0.00,0.00,0.06,0.00,0.29,0.17,0.00,0.11,0.10,0.13,0.11,0.07,0.06,0.08,0.12,0.00,0.06,0.06,0.05,0.00,0.06,0.06,0.14,0.00,0.00,0.09,0.18,0.06,0.12,0.07,0.18,0.80,0.06
centre d'information touristique,0.06,0.16,0.12,0.12,0.06,0.09,0.09,0.22,0.16,0.16,0.16,0.06,0.06,0.28,0.19,0.06,0.12,0.16,0.12,0.06,0.16,0.12,0.16,0.09,0.06,0.09,0.19,0.16,0.09,0.16,0.16,0.31,0.16,0.06,0.06,0.06,0.12,0.19,0.06,0.16,0.09,0.09,0.12,0.28,0.28,0.34,0.12,0.19,0.12,0.16,0.16,0.12,0.12,0.12,0.16,0.16,0.19,0.09,0.16,0.03,0.28,0.12,0.16,0.25,0.12,0.19,0.06,0.53
