,escuela,universidad,biblioteca,librería,hospital,clínica,farmacia,comisaría de policía,estación de bomberos,ayuntamiento,palacio de justicia,oficina de correos,banco,centro comercial,supermercado,tienda de comestibles,panadería,restaurante,cafetería,hotel,albergue,edificio de apartamentos,edificio de oficinas,fábrica,depósito,museo,galería de arte,teatro,cine,sala de conciertos,estadio,polideportivo,gimnasia,piscina,parque,zoo,acuario,jardín botánico,iglesia,catedral,mezquita,sinagoga,templo,centro comunitario,centro cultural,centro de convenciones,estación de tren,estación de autobuses,estación de metro,aeropuerto,garaje de estacionamiento,gasolinera,lavado de autos,taller de reparación de automóviles,lavadero,tintorería,peluquería,peluquería,salón de belleza,spa,guardería,kindergarten,patio de juegos,centro juvenil,hogar de ancianos,refugio,hotel,centro de información turística
bus station,0.09,0.09,0.18,0.00,0.27,0.09,0.18,0.15,0.10,0.25,0.16,0.11,0.27,0.12,0.08,0.14,0.00,0.18,0.09,0.09,0.00,0.17,0.15,0.09,0.27,0.27,0.07,0.27,0.09,0.17,0.45,0.15,0.18,0.18,0.09,0.09,0.27,0.20,0.18,0.09,0.09,0.18,0.09,0.22,0.13,0.18,0.19,0.14,0.12,0.09,0.28,0.09,0.20,0.11,0.09,0.00,0.00,0.00,0.06,0.18,0.09,0.17,0.13,0.07,0.24,0.18,0.09,0.13
subway station,0.07,0.14,0.14,0.14,0.14,0.07,0.21,0.15,0.15,0.29,0.16,0.17,0.21,0.12,0.29,0.19,0.14,0.14,0.14,0.07,0.07,0.17,0.15,0.14,0.21,0.21,0.07,0.21,0.07,0.22,0.36,0.14,0.21,0.14,0.07,0.07,0.29,0.20,0.14,0.14,0.14,0.21,0.07,0.22,0.13,0.18,0.25,0.19,0.18,0.14,0.28,0.07,0.20,0.14,0.14,0.07,0.07,0.07,0.12,0.14,0.14,0.14,0.07,0.07,0.24,0.14,0.07,0.13
airport,0.00,0.18,0.20,0.25,0.12,0.00,0.12,0.20,0.20,0.17,0.16,0.17,0.14,0.19,0.17,0.14,0.22,0.18,0.22,0.00,0.12,0.17,0.10,0.00,0.12,0.14,0.27,0.14,0.14,0.22,0.00,0.38,0.12,0.14,0.14,0.14,0.14,0.13,0.00,0.12,0.12,0.25,0.14,0.17,0.13,0.09,0.19,0.14,0.18,0.50,0.12,0.20,0.20,0.14,0.25,0.30,0.10,0.10,0.06,0.14,0.22,0.33,0.13,0.07,0.12,0.00,0.00,0.13
parking garage,0.07,0.14,0.14,0.14,0.14,0.14,0.21,0.15,0.15,0.14,0.21,0.22,0.14,0.06,0.07,0.10,0.29,0.21,0.14,0.00,0.21,0.25,0.10,0.14,0.00,0.00,0.27,0.07,0.21,0.17,0.07,0.14,0.14,0.29,0.29,0.00,0.21,0.20,0.21,0.21,0.07,0.29,0.00,0.11,0.13,0.14,0.19,0.19,0.12,0.14,0.24,0.29,0.13,0.20,0.14,0.21,0.14,0.14,0.12,0.07,0.14,0.36,0.20,0.00,0.18,0.14,0.00,0.16
gas station,0.09,0.00,0.09,0.00,0.27,0.09,0.27,0.15,0.15,0.33,0.21,0.17,0.18,0.12,0.00,0.19,0.09,0.18,0.18,0.09,0.09,0.17,0.15,0.09,0.27,0.18,0.20,0.27,0.09,0.22,0.45,0.15,0.27,0.18,0.09,0.09,0.36,0.27,0.18,0.18,0.09,0.18,0.09,0.22,0.13,0.18,0.25,0.19,0.18,0.09,0.36,0.27,0.27,0.14,0.18,0.00,0.00,0.00,0.12,0.18,0.09,0.17,0.20,0.07,0.35,0.18,0.09,0.13
car wash,0.00,0.09,0.00,0.00,0.00,0.12,0.25,0.20,0.10,0.08,0.16,0.17,0.12,0.19,0.17,0.14,0.11,0.09,0.22,0.00,0.00,0.12,0.15,0.12,0.00,0.00,0.27,0.00,0.12,0.11,0.00,0.00,0.12,0.00,0.25,0.00,0.12,0.20,0.00,0.25,0.00,0.00,0.00,0.22,0.20,0.14,0.12,0.19,0.12,0.10,0.16,0.10,0.20,0.11,0.12,0.00,0.00,0.00,0.12,0.12,0.22,0.08,0.13,0.21,0.24,0.00,0.00,0.16
auto repair shop,0.12,0.19,0.06,0.19,0.19,0.06,0.12,0.10,0.20,0.19,0.21,0.17,0.12,0.12,0.25,0.14,0.12,0.19,0.12,0.12,0.19,0.25,0.15,0.12,0.19,0.19,0.12,0.31,0.06,0.17,0.19,0.25,0.12,0.12,0.19,0.12,0.25,0.06,0.12,0.19,0.06,0.06,0.19,0.22,0.12,0.23,0.12,0.19,0.12,0.31,0.20,0.12,0.25,0.26,0.19,0.25,0.12,0.12,0.12,0.12,0.19,0.19,0.25,0.06,0.24,0.19,0.12,0.26
laundry,0.00,0.09,0.10,0.25,0.00,0.14,0.12,0.10,0.20,0.17,0.16,0.17,0.29,0.06,0.08,0.10,0.33,0.18,0.22,0.00,0.12,0.08,0.05,0.00,0.00,0.14,0.20,0.14,0.14,0.22,0.14,0.15,0.12,0.00,0.14,0.00,0.14,0.13,0.00,0.38,0.00,0.00,0.00,0.17,0.13,0.05,0.25,0.14,0.24,0.10,0.08,0.30,0.20,0.11,0.50,0.10,0.20,0.20,0.19,0.00,0.22,0.17,0.13,0.07,0.12,0.00,0.00,0.10
dry cleaner,0.18,0.00,0.09,0.09,0.09,0.18,0.18,0.10,0.20,0.08,0.11,0.17,0.18,0.25,0.08,0.24,0.09,0.18,0.09,0.09,0.09,0.21,0.20,0.09,0.09,0.09,0.20,0.18,0.27,0.22,0.09,0.00,0.09,0.18,0.09,0.00,0.18,0.20,0.18,0.09,0.09,0.09,0.09,0.28,0.27,0.27,0.19,0.19,0.24,0.09,0.24,0.27,0.13,0.17,0.18,0.09,0.09,0.09,0.19,0.09,0.09,0.17,0.13,0.21,0.24,0.09,0.09,0.16
hair salon,0.10,0.18,0.00,0.10,0.30,0.10,0.30,0.20,0.20,0.17,0.21,0.17,0.20,0.12,0.17,0.19,0.10,0.09,0.10,0.20,0.10,0.17,0.20,0.20,0.20,0.20,0.27,0.20,0.10,0.22,0.10,0.08,0.20,0.20,0.20,0.10,0.20,0.20,0.10,0.30,0.00,0.20,0.20,0.17,0.20,0.18,0.25,0.24,0.18,0.10,0.24,0.10,0.27,0.14,0.20,0.00,0.00,0.00,0.19,0.10,0.10,0.17,0.27,0.21,0.29,0.10,0.20,0.13
barber shop,0.09,0.18,0.18,0.18,0.00,0.00,0.18,0.15,0.15,0.00,0.16,0.17,0.27,0.12,0.25,0.14,0.18,0.00,0.18,0.09,0.36,0.12,0.10,0.18,0.18,0.18,0.20,0.18,0.09,0.17,0.09,0.15,0.09,0.00,0.18,0.09,0.27,0.20,0.18,0.18,0.09,0.00,0.18,0.06,0.07,0.14,0.12,0.14,0.12,0.18,0.24,0.09,0.20,0.17,0.27,0.09,0.00,0.00,0.12,0.09,0.27,0.17,0.20,0.07,0.24,0.27,0.09,0.16
beauty salon,0.17,0.08,0.08,0.08,0.17,0.08,0.17,0.15,0.15,0.08,0.16,0.17,0.25,0.12,0.08,0.24,0.08,0.25,0.17,0.17,0.08,0.17,0.15,0.08,0.25,0.25,0.20,0.33,0.00,0.17,0.25,0.00,0.08,0.08,0.08,0.08,0.17,0.13,0.08,0.33,0.17,0.08,0.25,0.17,0.20,0.18,0.19,0.19,0.12,0.17,0.24,0.08,0.20,0.14,0.17,0.08,0.17,0.17,0.12,0.08,0.17,0.08,0.13,0.21,0.24,0.25,0.17,0.13
spa,0.29,0.18,0.10,0.12,0.38,0.14,0.12,0.15,0.10,0.08,0.11,0.06,0.00,0.06,0.25,0.05,0.11,0.18,0.11,0.00,0.00,0.08,0.05,0.14,0.12,0.20,0.07,0.17,0.00,0.11,0.29,0.08,0.25,0.29,0.17,0.00,0.14,0.00,0.29,0.12,0.12,0.25,0.17,0.06,0.07,0.00,0.12,0.10,0.12,0.10,0.08,0.20,0.07,0.06,0.12,0.10,0.10,0.10,0.12,1.00,0.11,0.08,0.07,0.00,0.06,0.00,0.00,0.06
daycare center,0.14,0.07,0.07,0.14,0.07,0.14,0.21,0.20,0.25,0.36,0.26,0.33,0.14,0.19,0.14,0.33,0.21,0.29,0.29,0.14,0.21,0.29,0.25,0.14,0.21,0.07,0.27,0.14,0.21,0.39,0.07,0.07,0.07,0.14,0.21,0.00,0.21,0.13,0.07,0.21,0.14,0.07,0.07,0.28,0.27,0.27,0.31,0.24,0.29,0.29,0.24,0.21,0.27,0.23,0.21,0.14,0.07,0.07,0.31,0.07,0.21,0.21,0.20,0.14,0.24,0.14,0.14,0.19
kindergarten,0.17,0.17,0.17,0.33,0.08,0.08,0.17,0.15,0.25,0.08,0.21,0.33,0.08,0.12,0.17,0.29,0.33,0.25,0.17,0.17,0.33,0.33,0.20,0.08,0.25,0.08,0.27,0.25,0.25,0.22,0.17,0.23,0.17,0.17,0.17,0.00,0.17,0.20,0.25,0.17,0.17,0.33,0.08,0.11,0.13,0.23,0.31,0.29,0.24,0.17,0.20,0.08,0.20,0.20,0.17,0.33,0.08,0.08,0.25,0.08,0.25,1.00,0.20,0.21,0.18,0.08,0.17,0.23
playground,0.00,0.18,0.00,0.20,0.00,0.10,0.10,0.10,0.10,0.08,0.21,0.11,0.20,0.06,0.17,0.10,0.20,0.09,0.10,0.10,0.30,0.12,0.10,0.10,0.00,0.10,0.13,0.30,0.10,0.17,0.10,0.23,0.00,0.20,0.40,0.10,0.10,0.13,0.10,0.10,0.00,0.20,0.10,0.17,0.13,0.09,0.06,0.14,0.06,0.10,0.12,0.00,0.20,0.11,0.20,0.10,0.10,0.10,0.06,0.10,0.10,0.17,0.13,0.21,0.12,0.20,0.10,0.06
youth center,0.08,0.00,0.08,0.08,0.17,0.08,0.08,0.15,0.20,0.33,0.16,0.17,0.08,0.25,0.08,0.24,0.08,0.33,0.17,0.25,0.08,0.21,0.15,0.08,0.08,0.17,0.20,0.25,0.25,0.28,0.08,0.15,0.00,0.17,0.08,0.08,0.08,0.13,0.08,0.17,0.08,0.00,0.17,0.33,0.33,0.27,0.25,0.19,0.24,0.17,0.16,0.17,0.20,0.14,0.08,0.17,0.08,0.08,0.19,0.00,0.17,0.17,0.20,0.21,0.24,0.00,0.25,0.19
elderly care home,0.18,0.12,0.12,0.18,0.06,0.18,0.12,0.15,0.25,0.12,0.05,0.17,0.12,0.24,0.29,0.29,0.12,0.18,0.18,0.12,0.24,0.21,0.15,0.18,0.18,0.12,0.35,0.18,0.12,0.22,0.18,0.18,0.06,0.06,0.18,0.06,0.18,0.06,0.12,0.18,0.12,0.12,0.12,0.11,0.18,0.27,0.18,0.19,0.12,0.24,0.20,0.12,0.18,0.31,0.24,0.12,0.18,0.18,0.12,0.06,0.12,0.24,0.12,0.18,0.12,0.12,0.12,0.19
shelter,0.14,0.09,0.30,0.12,0.12,0.00,0.00,0.15,0.20,0.17,0.11,0.11,0.00,0.19,0.33,0.14,0.22,0.18,0.33,0.43,0.12,0.12,0.05,0.00,0.00,0.14,0.20,0.29,0.14,0.22,0.00,0.15,0.00,0.00,0.14,0.00,0.00,0.07,0.00,0.12,0.00,0.12,0.14,0.11,0.20,0.09,0.25,0.19,0.24,0.20,0.12,0.30,0.13,0.09,0.25,0.20,0.30,0.30,0.25,0.14,0.22,0.25,0.13,0.14,0.06,0.00,0.43,0.10
hotel,0.29,0.09,0.30,0.12,0.50,0.00,0.00,0.15,0.10,0.17,0.11,0.11,0.00,0.19,0.08,0.14,0.11,0.09,0.22,1.00,0.12,0.12,0.10,0.00,0.00,0.20,0.07,0.17,0.20,0.11,0.14,0.15,0.00,0.00,0.00,0.20,0.00,0.13,0.14,0.38,0.00,0.00,0.17,0.11,0.20,0.09,0.12,0.10,0.12,0.20,0.08,0.20,0.13,0.06,0.12,0.20,0.10,0.10,0.12,0.00,0.11,0.17,0.13,0.21,0.18,0.00,1.00,0.06
tourist information center,0.08,0.15,0.19,0.12,0.15,0.12,0.19,0.19,0.15,0.27,0.15,0.27,0.12,0.15,0.15,0.19,0.12,0.31,0.12,0.12,0.08,0.23,0.23,0.12,0.15,0.12,0.19,0.15,0.12,0.19,0.19,0.23,0.15,0.19,0.08,0.08,0.15,0.23,0.12,0.12,0.08,0.19,0.12,0.15,0.19,0.15,0.31,0.19,0.27,0.15,0.31,0.19,0.12,0.29,0.08,0.23,0.08,0.08,0.15,0.08,0.12,0.23,0.15,0.15,0.19,0.15,0.12,0.42
