,школа,університет,бібліотека,книжковий магазин,лікарня,клініка,аптека,поліцейська станція,пожежна станція,ратуша,будівля суду,поштове відділення,банк,торговий центр,супермаркет,продуктовий магазин,пекарня,ресторан,кафе,готель,хостел,житловий будинок,офісна будівля,фабрика,склад,музей,художня галерея,театр,кіно,концертний зал,стадіон,спортивний центр,спортзал,плавальний басейн,парк,зоопарк,акваріум,ботанічний сад,церква,собор,мечеть,синагога,храм,громадський центр,культурний центр,конференц-центр,залізничний вокзал,автовокзал,станція метро,аеропорт,гараж,азс,автомийка,автосервіс,пральня,хімчистка,перукарня,перукарня,салон краси,спа,дитячий центр,дитячий садок,дитячий майданчик,молодіжний центр,будинок для літніх людей,притулок,готель,туристично-інформаційний центр
автовокзал,0.20,0.00,0.10,0.18,0.00,0.20,0.40,0.11,0.07,0.20,0.08,0.22,0.10,0.14,0.00,0.21,0.00,0.20,0.10,0.10,0.20,0.19,0.07,0.20,0.20,0.10,0.20,0.10,0.10,0.29,0.10,0.12,0.40,0.18,0.10,0.20,0.20,0.14,0.20,0.20,0.00,0.20,0.10,0.06,0.06,0.00,0.39,1.00,0.08,0.30,0.10,0.20,0.50,0.40,0.00,0.10,0.00,0.00,0.27,0.10,0.08,0.15,0.12,0.06,0.12,0.20,0.10,0.13
станция метро,0.00,0.15,0.08,0.18,0.08,0.08,0.15,0.11,0.07,0.08,0.15,0.11,0.15,0.29,0.23,0.16,0.08,0.00,0.15,0.08,0.08,0.25,0.07,0.15,0.08,0.08,0.20,0.23,0.15,0.07,0.23,0.38,0.08,0.18,0.15,0.08,0.08,0.21,0.08,0.15,0.15,0.15,0.15,0.29,0.31,0.13,0.17,0.08,0.92,0.15,0.08,0.08,0.15,0.08,0.15,0.15,0.00,0.00,0.23,0.15,0.31,0.15,0.18,0.25,0.17,0.08,0.08,0.27
аэропорт,0.12,0.18,0.10,0.06,0.00,0.00,0.12,0.05,0.07,0.12,0.00,0.06,0.00,0.21,0.18,0.11,0.00,0.12,0.00,0.12,0.12,0.06,0.07,0.12,0.00,0.00,0.13,0.12,0.12,0.07,0.12,0.12,0.12,0.06,0.25,0.38,0.12,0.07,0.12,0.38,0.00,0.12,0.12,0.12,0.12,0.13,0.11,0.30,0.15,0.88,0.12,0.12,0.22,0.30,0.12,0.00,0.22,0.22,0.18,0.12,0.08,0.00,0.06,0.12,0.08,0.00,0.12,0.17
автостоянка,0.18,0.00,0.27,0.12,0.09,0.18,0.36,0.11,0.13,0.18,0.00,0.17,0.18,0.14,0.00,0.16,0.09,0.27,0.00,0.18,0.27,0.19,0.00,0.18,0.09,0.00,0.13,0.18,0.09,0.14,0.27,0.12,0.18,0.18,0.09,0.18,0.09,0.14,0.09,0.18,0.09,0.18,0.00,0.12,0.12,0.07,0.17,0.45,0.08,0.27,0.00,0.18,0.55,0.45,0.09,0.27,0.09,0.09,0.09,0.18,0.15,0.08,0.12,0.12,0.12,0.18,0.18,0.17
азс,0.00,0.09,0.00,0.12,0.14,0.00,0.17,0.11,0.13,0.17,0.08,0.00,0.25,0.00,0.09,0.11,0.14,0.12,0.25,0.00,0.17,0.00,0.07,0.14,0.00,0.20,0.07,0.20,0.00,0.07,0.14,0.00,0.12,0.12,0.25,0.14,0.12,0.14,0.00,0.00,0.00,0.12,0.00,0.12,0.00,0.00,0.11,0.20,0.08,0.12,0.20,1.00,0.11,0.20,0.14,0.11,0.11,0.11,0.18,0.00,0.00,0.08,0.06,0.00,0.00,0.00,0.00,0.03
автомойка,0.22,0.09,0.30,0.18,0.00,0.22,0.44,0.16,0.07,0.22,0.08,0.11,0.11,0.14,0.18,0.21,0.00,0.11,0.00,0.11,0.11,0.19,0.07,0.22,0.00,0.11,0.13,0.11,0.11,0.14,0.11,0.12,0.11,0.24,0.11,0.22,0.11,0.21,0.11,0.22,0.00,0.22,0.11,0.12,0.12,0.00,0.22,0.60,0.15,0.33,0.00,0.11,0.89,0.40,0.00,0.22,0.00,0.00,0.18,0.11,0.15,0.23,0.24,0.12,0.04,0.22,0.11,0.13
авторемонтная мастерская,0.08,0.12,0.21,0.17,0.12,0.12,0.21,0.25,0.33,0.17,0.12,0.17,0.08,0.29,0.21,0.17,0.17,0.25,0.08,0.12,0.17,0.17,0.21,0.17,0.08,0.08,0.33,0.21,0.04,0.21,0.12,0.25,0.17,0.21,0.12,0.21,0.12,0.21,0.12,0.12,0.08,0.12,0.12,0.17,0.17,0.17,0.12,0.25,0.29,0.17,0.12,0.08,0.29,0.29,0.12,0.21,0.17,0.17,0.17,0.08,0.17,0.17,0.17,0.21,0.04,0.12,0.12,0.13
прачечная,0.11,0.09,0.00,0.06,0.22,0.11,0.22,0.21,0.27,0.33,0.00,0.22,0.22,0.14,0.09,0.16,0.33,0.22,0.22,0.11,0.11,0.06,0.14,0.22,0.11,0.11,0.13,0.11,0.11,0.21,0.22,0.19,0.11,0.24,0.22,0.00,0.00,0.29,0.11,0.00,0.22,0.11,0.22,0.18,0.12,0.13,0.17,0.10,0.08,0.00,0.22,0.11,0.00,0.10,0.56,0.11,0.33,0.33,0.09,0.11,0.15,0.15,0.12,0.06,0.04,0.22,0.11,0.13
химчистка,0.11,0.18,0.30,0.18,0.00,0.22,0.22,0.16,0.13,0.11,0.08,0.00,0.11,0.07,0.09,0.11,0.00,0.11,0.00,0.00,0.33,0.12,0.00,0.33,0.11,0.11,0.13,0.11,0.00,0.14,0.00,0.12,0.11,0.12,0.11,0.11,0.00,0.21,0.11,0.00,0.22,0.22,0.11,0.18,0.06,0.00,0.22,0.10,0.08,0.00,0.00,0.11,0.22,0.00,0.00,0.89,0.00,0.00,0.09,0.22,0.23,0.31,0.24,0.06,0.08,0.11,0.00,0.10
парикмахерская,0.14,0.14,0.21,0.12,0.29,0.21,0.29,0.21,0.20,0.21,0.07,0.11,0.14,0.07,0.29,0.16,0.36,0.21,0.21,0.07,0.14,0.00,0.07,0.29,0.14,0.14,0.13,0.14,0.07,0.07,0.07,0.19,0.14,0.18,0.29,0.21,0.29,0.07,0.21,0.07,0.14,0.21,0.21,0.06,0.00,0.00,0.22,0.14,0.07,0.14,0.21,0.14,0.29,0.21,0.29,0.21,0.43,0.43,0.14,0.14,0.00,0.07,0.18,0.00,0.12,0.29,0.07,0.13
парикмахерская,0.14,0.14,0.21,0.12,0.29,0.21,0.29,0.21,0.20,0.21,0.07,0.11,0.14,0.07,0.29,0.16,0.36,0.21,0.21,0.07,0.14,0.00,0.07,0.29,0.14,0.14,0.13,0.14,0.07,0.07,0.07,0.19,0.14,0.18,0.29,0.21,0.29,0.07,0.21,0.07,0.14,0.21,0.21,0.06,0.00,0.00,0.22,0.14,0.07,0.14,0.21,0.14,0.29,0.21,0.29,0.21,0.43,0.43,0.14,0.14,0.00,0.07,0.18,0.00,0.12,0.29,0.07,0.13
салон красоты,0.15,0.15,0.15,0.12,0.23,0.31,0.23,0.16,0.20,0.15,0.08,0.11,0.23,0.14,0.23,0.11,0.15,0.15,0.15,0.08,0.15,0.19,0.14,0.23,0.23,0.00,0.20,0.15,0.15,0.07,0.15,0.19,0.23,0.29,0.15,0.15,0.23,0.07,0.15,0.23,0.08,0.31,0.15,0.12,0.19,0.13,0.22,0.23,0.15,0.23,0.23,0.15,0.15,0.15,0.15,0.08,0.15,0.15,0.77,0.15,0.08,0.08,0.12,0.25,0.12,0.08,0.08,0.20
спа,0.20,0.09,0.10,0.06,0.14,0.14,0.33,0.11,0.13,0.17,0.08,0.00,0.00,0.00,0.27,0.05,0.14,0.25,0.00,0.00,0.17,0.00,0.14,0.14,0.40,0.00,0.07,0.20,0.00,0.07,0.29,0.12,0.38,0.06,0.25,0.29,0.12,0.07,0.17,0.20,0.00,0.25,0.25,0.06,0.00,0.00,0.06,0.10,0.15,0.12,0.20,0.00,0.11,0.10,0.14,0.22,0.11,0.11,0.18,1.00,0.00,0.08,0.06,0.00,0.00,0.00,0.00,0.07
детский сад,0.18,0.00,0.09,0.29,0.09,0.09,0.27,0.26,0.20,0.18,0.25,0.11,0.09,0.21,0.00,0.32,0.18,0.27,0.09,0.09,0.09,0.31,0.14,0.18,0.36,0.09,0.13,0.09,0.09,0.36,0.09,0.25,0.18,0.24,0.09,0.00,0.09,0.50,0.27,0.09,0.09,0.09,0.09,0.29,0.25,0.07,0.22,0.18,0.08,0.09,0.09,0.09,0.36,0.18,0.00,0.18,0.18,0.18,0.00,0.18,0.38,0.62,0.41,0.19,0.17,0.09,0.09,0.13
детский сад,0.18,0.00,0.09,0.29,0.09,0.09,0.27,0.26,0.20,0.18,0.25,0.11,0.09,0.21,0.00,0.32,0.18,0.27,0.09,0.09,0.09,0.31,0.14,0.18,0.36,0.09,0.13,0.09,0.09,0.36,0.09,0.25,0.18,0.24,0.09,0.00,0.09,0.50,0.27,0.09,0.09,0.09,0.09,0.29,0.25,0.07,0.22,0.18,0.08,0.09,0.09,0.09,0.36,0.18,0.00,0.18,0.18,0.18,0.00,0.18,0.38,0.62,0.41,0.19,0.17,0.09,0.09,0.13
детская площадка,0.19,0.00,0.19,0.12,0.12,0.25,0.25,0.16,0.06,0.12,0.19,0.06,0.12,0.06,0.19,0.16,0.19,0.25,0.12,0.12,0.12,0.12,0.19,0.19,0.31,0.00,0.12,0.12,0.12,0.06,0.19,0.00,0.19,0.06,0.19,0.19,0.06,0.19,0.19,0.12,0.06,0.19,0.06,0.00,0.00,0.00,0.11,0.12,0.12,0.19,0.12,0.06,0.25,0.06,0.12,0.12,0.19,0.19,0.19,0.19,0.19,0.31,0.24,0.00,0.21,0.19,0.12,0.10
молодежный центр,0.06,0.19,0.06,0.06,0.12,0.12,0.06,0.26,0.25,0.00,0.12,0.28,0.06,0.50,0.19,0.16,0.12,0.12,0.06,0.12,0.12,0.12,0.06,0.00,0.12,0.19,0.19,0.19,0.06,0.25,0.12,0.50,0.06,0.18,0.00,0.12,0.00,0.25,0.06,0.19,0.25,0.06,0.00,0.53,0.56,0.44,0.22,0.06,0.19,0.12,0.06,0.00,0.12,0.12,0.06,0.00,0.12,0.12,0.25,0.00,0.44,0.12,0.06,0.88,0.17,0.00,0.12,0.33
дом престарелых,0.07,0.20,0.13,0.06,0.13,0.07,0.20,0.16,0.20,0.13,0.00,0.17,0.07,0.13,0.27,0.11,0.27,0.33,0.13,0.27,0.33,0.00,0.07,0.13,0.13,0.13,0.13,0.20,0.00,0.13,0.20,0.12,0.20,0.06,0.20,0.27,0.13,0.07,0.13,0.13,0.20,0.07,0.13,0.18,0.12,0.27,0.00,0.13,0.07,0.13,0.13,0.07,0.07,0.13,0.20,0.20,0.20,0.20,0.13,0.13,0.13,0.13,0.12,0.12,0.21,0.27,0.27,0.10
приют,0.00,0.27,0.10,0.06,0.00,0.00,0.17,0.11,0.13,0.00,0.00,0.06,0.00,0.21,0.27,0.16,0.14,0.12,0.00,0.00,0.00,0.06,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.25,0.25,0.12,0.20,0.00,0.12,0.07,0.17,0.00,0.17,0.00,0.20,0.18,0.19,0.13,0.06,0.00,0.08,0.25,0.00,0.00,0.11,0.10,0.29,0.22,0.22,0.22,0.09,0.00,0.15,0.08,0.06,0.12,0.08,0.38,0.00,0.10
отель,0.20,0.09,0.30,0.06,0.00,0.00,0.33,0.16,0.13,0.17,0.08,0.22,0.00,0.14,0.09,0.11,0.00,0.12,0.00,0.83,0.50,0.06,0.14,0.00,0.00,0.00,0.13,0.20,0.00,0.14,0.14,0.19,0.25,0.12,0.00,0.14,0.00,0.14,0.00,0.00,0.33,0.00,0.00,0.12,0.12,0.13,0.06,0.10,0.15,0.12,0.00,0.00,0.11,0.20,0.29,0.00,0.00,0.00,0.09,0.00,0.15,0.08,0.06,0.12,0.12,0.25,0.83,0.07
туристический информационный центр,0.09,0.18,0.09,0.21,0.09,0.09,0.12,0.15,0.15,0.09,0.06,0.15,0.06,0.32,0.21,0.21,0.12,0.21,0.09,0.06,0.09,0.21,0.09,0.09,0.09,0.09,0.12,0.15,0.09,0.18,0.15,0.35,0.09,0.18,0.06,0.06,0.06,0.15,0.09,0.12,0.09,0.15,0.06,0.32,0.32,0.29,0.21,0.09,0.21,0.12,0.06,0.03,0.15,0.09,0.09,0.12,0.12,0.12,0.15,0.06,0.32,0.24,0.26,0.26,0.18,0.12,0.06,0.68
