,escuela,universidad,biblioteca,librería,hospital,clínica,farmacia,comisaría de policía,estación de bomberos,ayuntamiento,palacio de justicia,oficina de correos,banco,centro comercial,supermercado,tienda de comestibles,panadería,restaurante,cafetería,hotel,albergue,edificio de apartamentos,edificio de oficinas,fábrica,depósito,museo,galería de arte,teatro,cine,sala de conciertos,estadio,polideportivo,gimnasia,piscina,parque,zoo,acuario,jardín botánico,iglesia,catedral,mezquita,sinagoga,templo,centro comunitario,centro cultural,centro de convenciones,estación de tren,estación de autobuses,estación de metro,aeropuerto,garaje de estacionamiento,gasolinera,lavado de autos,taller de reparación de automóviles,lavadero,tintorería,peluquería,peluquería,salón de belleza,spa,guardería,kindergarten,patio de juegos,centro juvenil,hogar de ancianos,refugio,hotel,centro de información turística
dworzec autobusowy,0.11,0.06,0.06,0.17,0.11,0.11,0.17,0.05,0.15,0.11,0.11,0.11,0.11,0.06,0.17,0.10,0.11,0.22,0.11,0.11,0.11,0.21,0.15,0.17,0.22,0.11,0.11,0.22,0.06,0.06,0.17,0.17,0.11,0.06,0.11,0.17,0.17,0.22,0.11,0.17,0.11,0.11,0.11,0.11,0.17,0.14,0.06,0.33,0.06,0.17,0.16,0.11,0.28,0.23,0.11,0.11,0.17,0.17,0.06,0.06,0.17,0.17,0.17,0.11,0.17,0.22,0.11,0.19
stacja metra,0.25,0.00,0.17,0.17,0.08,0.17,0.25,0.25,0.35,0.17,0.32,0.28,0.08,0.25,0.17,0.24,0.33,0.25,0.33,0.08,0.08,0.21,0.20,0.08,0.08,0.08,0.27,0.33,0.17,0.28,0.17,0.08,0.17,0.17,0.17,0.00,0.25,0.13,0.17,0.33,0.17,0.25,0.17,0.22,0.27,0.14,0.50,0.33,0.53,0.17,0.24,0.33,0.20,0.14,0.33,0.25,0.17,0.17,0.25,0.17,0.25,0.08,0.20,0.14,0.18,0.00,0.08,0.19
lotnisko,0.00,0.09,0.10,0.12,0.25,0.25,0.00,0.15,0.15,0.25,0.16,0.11,0.25,0.12,0.08,0.10,0.00,0.09,0.00,0.25,0.00,0.12,0.10,0.12,0.12,0.25,0.07,0.25,0.12,0.22,0.25,0.23,0.25,0.12,0.00,0.25,0.12,0.27,0.12,0.12,0.00,0.00,0.25,0.22,0.07,0.14,0.12,0.14,0.18,0.20,0.16,0.10,0.20,0.09,0.25,0.10,0.10,0.10,0.06,0.12,0.00,0.00,0.13,0.07,0.24,0.12,0.25,0.13
garaż parkingowy,0.06,0.12,0.06,0.06,0.12,0.06,0.25,0.15,0.10,0.25,0.16,0.06,0.19,0.00,0.12,0.10,0.19,0.19,0.12,0.00,0.19,0.21,0.10,0.12,0.19,0.06,0.19,0.19,0.12,0.22,0.19,0.25,0.19,0.19,0.19,0.06,0.31,0.19,0.06,0.12,0.06,0.19,0.12,0.11,0.00,0.18,0.06,0.14,0.06,0.19,0.28,0.25,0.19,0.26,0.25,0.06,0.06,0.06,0.12,0.12,0.19,0.19,0.25,0.06,0.29,0.19,0.00,0.16
stacja benzynowa,0.19,0.06,0.12,0.12,0.00,0.19,0.19,0.25,0.30,0.25,0.26,0.22,0.19,0.06,0.19,0.14,0.25,0.19,0.25,0.06,0.19,0.17,0.20,0.12,0.06,0.12,0.12,0.19,0.12,0.22,0.19,0.06,0.12,0.19,0.12,0.12,0.25,0.19,0.12,0.19,0.19,0.25,0.19,0.11,0.06,0.23,0.25,0.33,0.29,0.19,0.20,0.19,0.19,0.14,0.25,0.19,0.12,0.12,0.25,0.12,0.19,0.06,0.19,0.12,0.18,0.12,0.06,0.16
myjnia samochodowa,0.17,0.17,0.17,0.11,0.11,0.22,0.22,0.20,0.15,0.28,0.16,0.17,0.17,0.11,0.17,0.19,0.17,0.11,0.11,0.11,0.06,0.12,0.15,0.17,0.11,0.17,0.06,0.11,0.06,0.11,0.11,0.17,0.22,0.22,0.06,0.11,0.17,0.11,0.11,0.11,0.11,0.22,0.11,0.11,0.11,0.14,0.06,0.14,0.06,0.11,0.20,0.22,0.11,0.14,0.17,0.17,0.06,0.06,0.11,0.11,0.11,0.11,0.17,0.06,0.11,0.06,0.11,0.13
warsztat samochodowy,0.10,0.10,0.10,0.05,0.15,0.05,0.20,0.05,0.10,0.25,0.10,0.15,0.15,0.15,0.20,0.10,0.10,0.20,0.15,0.10,0.05,0.08,0.10,0.05,0.10,0.10,0.15,0.15,0.05,0.15,0.20,0.10,0.10,0.10,0.10,0.15,0.15,0.20,0.05,0.15,0.10,0.15,0.15,0.15,0.10,0.09,0.15,0.10,0.15,0.10,0.24,0.15,0.15,0.17,0.15,0.10,0.05,0.05,0.10,0.10,0.10,0.05,0.20,0.10,0.20,0.10,0.10,0.10
pranie,0.00,0.09,0.20,0.12,0.12,0.29,0.38,0.15,0.15,0.25,0.21,0.11,0.33,0.12,0.17,0.14,0.33,0.36,0.11,0.00,0.12,0.17,0.10,0.14,0.12,0.00,0.20,0.17,0.33,0.22,0.29,0.15,0.25,0.29,0.33,0.00,0.29,0.20,0.14,0.00,0.12,0.12,0.00,0.17,0.07,0.18,0.19,0.14,0.18,0.20,0.20,0.20,0.13,0.17,0.12,0.10,0.20,0.20,0.12,0.17,0.22,0.25,0.20,0.21,0.24,0.14,0.00,0.13
pralnia chemiczna,0.18,0.18,0.29,0.24,0.06,0.24,0.29,0.20,0.15,0.24,0.32,0.11,0.18,0.18,0.12,0.24,0.35,0.12,0.18,0.06,0.18,0.12,0.30,0.18,0.06,0.06,0.24,0.06,0.18,0.22,0.12,0.24,0.24,0.35,0.18,0.06,0.18,0.18,0.24,0.12,0.12,0.18,0.12,0.11,0.12,0.18,0.18,0.14,0.12,0.12,0.24,0.18,0.18,0.17,0.18,0.18,0.24,0.24,0.29,0.06,0.18,0.12,0.24,0.12,0.12,0.12,0.06,0.16
salon fryzjerski,0.06,0.12,0.06,0.25,0.06,0.12,0.12,0.15,0.25,0.19,0.21,0.17,0.12,0.06,0.19,0.14,0.25,0.12,0.25,0.12,0.25,0.17,0.05,0.12,0.00,0.06,0.19,0.06,0.12,0.33,0.00,0.06,0.12,0.00,0.19,0.06,0.12,0.12,0.19,0.12,0.06,0.12,0.06,0.11,0.06,0.09,0.12,0.24,0.18,0.25,0.12,0.25,0.12,0.17,0.19,0.25,0.19,0.19,0.31,0.06,0.19,0.19,0.19,0.19,0.06,0.12,0.12,0.23
fryzjer,0.00,0.09,0.10,0.12,0.00,0.00,0.25,0.10,0.10,0.08,0.05,0.17,0.00,0.19,0.17,0.05,0.22,0.09,0.22,0.14,0.00,0.12,0.10,0.14,0.00,0.14,0.20,0.00,0.14,0.11,0.00,0.15,0.00,0.00,0.14,0.14,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.11,0.13,0.09,0.12,0.05,0.12,0.30,0.08,0.20,0.07,0.09,0.25,0.20,0.20,0.20,0.06,0.00,0.22,0.17,0.13,0.21,0.06,0.00,0.14,0.10
salon piękności,0.00,0.07,0.13,0.13,0.20,0.27,0.13,0.20,0.20,0.20,0.26,0.11,0.20,0.06,0.13,0.10,0.13,0.07,0.07,0.07,0.13,0.12,0.15,0.13,0.13,0.07,0.13,0.07,0.13,0.28,0.13,0.13,0.13,0.13,0.07,0.13,0.20,0.27,0.13,0.07,0.07,0.20,0.13,0.17,0.00,0.18,0.12,0.24,0.18,0.20,0.16,0.27,0.07,0.20,0.13,0.07,0.07,0.07,0.31,0.13,0.00,0.07,0.13,0.07,0.12,0.13,0.07,0.16
spa,0.29,0.18,0.10,0.12,0.38,0.14,0.12,0.15,0.10,0.08,0.11,0.06,0.00,0.06,0.25,0.05,0.11,0.18,0.11,0.00,0.00,0.08,0.05,0.14,0.12,0.20,0.07,0.17,0.00,0.11,0.29,0.08,0.25,0.29,0.17,0.00,0.14,0.00,0.29,0.12,0.12,0.25,0.17,0.06,0.07,0.00,0.12,0.10,0.12,0.10,0.08,0.20,0.07,0.06,0.12,0.10,0.10,0.10,0.12,1.00,0.11,0.08,0.07,0.00,0.06,0.00,0.00,0.06
centrum opieki dziennej,0.13,0.13,0.13,0.09,0.09,0.09,0.13,0.13,0.17,0.22,0.13,0.13,0.09,0.35,0.17,0.17,0.13,0.22,0.13,0.09,0.09,0.17,0.26,0.09,0.13,0.09,0.22,0.17,0.17,0.17,0.17,0.13,0.09,0.17,0.09,0.04,0.09,0.13,0.09,0.17,0.13,0.09,0.13,0.35,0.30,0.35,0.26,0.17,0.22,0.22,0.16,0.13,0.13,0.20,0.09,0.17,0.13,0.13,0.17,0.04,0.13,0.17,0.22,0.39,0.22,0.13,0.09,0.29
przedszkole,0.27,0.09,0.00,0.00,0.09,0.00,0.00,0.20,0.15,0.00,0.16,0.17,0.09,0.12,0.17,0.19,0.18,0.09,0.09,0.18,0.18,0.08,0.05,0.00,0.18,0.18,0.20,0.18,0.09,0.17,0.18,0.15,0.09,0.18,0.18,0.18,0.09,0.07,0.18,0.27,0.09,0.09,0.18,0.06,0.07,0.18,0.06,0.14,0.06,0.09,0.24,0.00,0.07,0.17,0.18,0.00,0.09,0.09,0.19,0.09,0.09,0.08,0.13,0.07,0.12,0.27,0.18,0.10
plac gier i zabaw,0.18,0.24,0.18,0.24,0.12,0.18,0.18,0.10,0.20,0.12,0.26,0.11,0.06,0.12,0.18,0.10,0.29,0.12,0.24,0.06,0.18,0.17,0.15,0.18,0.06,0.06,0.18,0.12,0.12,0.11,0.12,0.18,0.18,0.24,0.18,0.06,0.24,0.06,0.24,0.18,0.12,0.12,0.06,0.11,0.12,0.05,0.18,0.19,0.18,0.18,0.20,0.24,0.18,0.20,0.24,0.18,0.24,0.24,0.18,0.06,0.24,0.12,0.18,0.12,0.18,0.12,0.06,0.16
centrum młodzieży,0.18,0.12,0.12,0.06,0.12,0.12,0.18,0.20,0.15,0.18,0.11,0.17,0.12,0.35,0.18,0.19,0.12,0.24,0.06,0.12,0.12,0.08,0.15,0.12,0.12,0.12,0.18,0.24,0.18,0.17,0.24,0.12,0.12,0.06,0.12,0.06,0.12,0.12,0.06,0.18,0.18,0.12,0.18,0.33,0.35,0.32,0.12,0.14,0.12,0.18,0.16,0.12,0.06,0.14,0.12,0.18,0.12,0.12,0.06,0.00,0.12,0.12,0.12,0.41,0.06,0.18,0.12,0.26
dom opieki dla osób starszych,0.10,0.10,0.17,0.10,0.17,0.07,0.07,0.21,0.21,0.10,0.21,0.24,0.10,0.10,0.14,0.21,0.10,0.14,0.10,0.10,0.10,0.21,0.24,0.10,0.14,0.10,0.21,0.14,0.03,0.17,0.14,0.17,0.14,0.14,0.10,0.07,0.10,0.17,0.14,0.10,0.14,0.14,0.14,0.17,0.14,0.10,0.21,0.21,0.21,0.14,0.17,0.10,0.17,0.11,0.10,0.10,0.14,0.14,0.17,0.07,0.07,0.17,0.17,0.10,0.17,0.07,0.10,0.26
schronienie,0.18,0.00,0.09,0.18,0.18,0.27,0.18,0.15,0.20,0.25,0.16,0.17,0.09,0.25,0.17,0.14,0.09,0.18,0.18,0.27,0.09,0.17,0.20,0.18,0.09,0.09,0.20,0.09,0.36,0.28,0.09,0.08,0.18,0.18,0.18,0.09,0.18,0.20,0.18,0.09,0.09,0.18,0.00,0.28,0.13,0.32,0.25,0.19,0.24,0.27,0.24,0.18,0.13,0.14,0.09,0.18,0.09,0.09,0.19,0.09,0.18,0.08,0.20,0.36,0.24,0.18,0.27,0.19
hotel,0.29,0.09,0.30,0.12,0.50,0.00,0.00,0.15,0.10,0.17,0.11,0.11,0.00,0.19,0.08,0.14,0.11,0.09,0.22,1.00,0.12,0.12,0.10,0.00,0.00,0.20,0.07,0.17,0.20,0.11,0.14,0.15,0.00,0.00,0.00,0.20,0.00,0.13,0.14,0.38,0.00,0.00,0.17,0.11,0.20,0.09,0.12,0.10,0.12,0.20,0.08,0.20,0.13,0.06,0.12,0.20,0.10,0.10,0.12,0.00,0.11,0.17,0.13,0.21,0.18,0.00,1.00,0.06
centrum informacji turystycznej,0.10,0.16,0.13,0.10,0.10,0.13,0.19,0.23,0.16,0.16,0.23,0.16,0.06,0.32,0.16,0.23,0.10,0.23,0.13,0.10,0.10,0.16,0.23,0.10,0.10,0.13,0.19,0.13,0.13,0.19,0.13,0.10,0.13,0.13,0.10,0.03,0.10,0.13,0.06,0.13,0.13,0.10,0.10,0.35,0.32,0.29,0.23,0.23,0.16,0.16,0.16,0.13,0.13,0.20,0.06,0.19,0.13,0.13,0.10,0.03,0.10,0.23,0.16,0.29,0.16,0.13,0.10,0.58
