,szkoła,uniwersytet,biblioteka,księgarnia,szpital,klinika,apteka,posterunek policji,straż pożarna,ratusz,gmach sądu,poczta,bank,centrum handlowe,supermarket,sklep spożywczy,piekarnia,restauracja,kawiarnia,hotel,schronisko,budynek mieszkalny,budynek biurowy,fabryka,magazyn,muzeum,galeria sztuki,teatr,kino,sala koncertowa,stadion,centrum sportu,sala gimnastyczna,basen,park,zoo,akwarium,ogród botaniczny,kościół,katedra,meczet,synagoga,świątynia,centrum społeczności,centrum kultury,centrum kongresowe,stacja kolejowa,dworzec autobusowy,stacja metra,lotnisko,garaż parkingowy,stacja benzynowa,myjnia samochodowa,warsztat samochodowy,pranie,pralnia chemiczna,salon fryzjerski,fryzjer,salon piękności,spa,centrum opieki dziennej,przedszkole,plac gier i zabaw,centrum młodzieży,dom opieki dla osób starszych,schronienie,hotel,centrum informacji turystycznej
bus station,0.09,0.00,0.18,0.18,0.18,0.09,0.09,0.11,0.08,0.18,0.00,0.18,0.18,0.19,0.18,0.13,0.09,0.09,0.09,0.09,0.09,0.22,0.27,0.09,0.18,0.09,0.14,0.18,0.09,0.13,0.55,0.14,0.24,0.27,0.09,0.09,0.18,0.31,0.09,0.09,0.09,0.18,0.18,0.20,0.20,0.17,0.13,0.17,0.00,0.09,0.19,0.12,0.17,0.20,0.18,0.18,0.06,0.00,0.13,0.18,0.17,0.00,0.12,0.18,0.17,0.09,0.09,0.16
subway station,0.14,0.21,0.14,0.14,0.21,0.07,0.14,0.11,0.21,0.14,0.14,0.14,0.14,0.12,0.21,0.13,0.14,0.14,0.14,0.07,0.21,0.17,0.13,0.21,0.21,0.07,0.14,0.14,0.07,0.13,0.43,0.07,0.24,0.29,0.07,0.07,0.21,0.25,0.07,0.14,0.07,0.21,0.21,0.15,0.13,0.11,0.20,0.17,0.21,0.14,0.19,0.19,0.17,0.20,0.14,0.18,0.06,0.07,0.13,0.14,0.13,0.07,0.06,0.12,0.17,0.14,0.07,0.16
airport,0.14,0.27,0.20,0.20,0.00,0.00,0.14,0.17,0.31,0.00,0.10,0.14,0.00,0.12,0.27,0.13,0.22,0.18,0.22,0.00,0.10,0.06,0.13,0.14,0.00,0.00,0.21,0.14,0.29,0.27,0.00,0.36,0.18,0.00,0.29,0.14,0.12,0.12,0.00,0.14,0.14,0.12,0.11,0.15,0.13,0.17,0.13,0.11,0.17,0.00,0.19,0.12,0.11,0.10,0.14,0.12,0.19,0.00,0.20,0.14,0.09,0.09,0.18,0.12,0.10,0.09,0.00,0.13
parking garage,0.14,0.07,0.14,0.29,0.14,0.21,0.14,0.17,0.21,0.14,0.07,0.14,0.14,0.19,0.14,0.00,0.29,0.14,0.29,0.00,0.07,0.11,0.13,0.14,0.21,0.00,0.14,0.07,0.21,0.13,0.07,0.07,0.18,0.14,0.29,0.00,0.29,0.12,0.07,0.21,0.00,0.21,0.14,0.05,0.07,0.22,0.07,0.06,0.14,0.07,0.25,0.06,0.11,0.20,0.29,0.18,0.12,0.14,0.07,0.07,0.17,0.21,0.29,0.12,0.21,0.14,0.00,0.19
gas station,0.09,0.00,0.09,0.18,0.18,0.09,0.18,0.11,0.15,0.18,0.18,0.18,0.09,0.12,0.09,0.13,0.09,0.09,0.18,0.09,0.09,0.11,0.13,0.18,0.27,0.00,0.29,0.18,0.09,0.20,0.55,0.07,0.29,0.27,0.09,0.09,0.27,0.38,0.09,0.18,0.09,0.18,0.18,0.15,0.13,0.11,0.20,0.17,0.08,0.09,0.31,0.19,0.17,0.25,0.18,0.24,0.12,0.00,0.20,0.18,0.13,0.00,0.18,0.12,0.21,0.09,0.09,0.13
car wash,0.12,0.09,0.00,0.10,0.12,0.00,0.12,0.11,0.23,0.25,0.20,0.12,0.12,0.25,0.09,0.13,0.11,0.09,0.11,0.00,0.30,0.11,0.07,0.25,0.12,0.00,0.21,0.12,0.00,0.13,0.00,0.21,0.24,0.12,0.25,0.00,0.12,0.19,0.00,0.12,0.00,0.00,0.00,0.15,0.20,0.22,0.13,0.17,0.17,0.00,0.25,0.12,0.17,0.25,0.12,0.18,0.19,0.12,0.13,0.12,0.13,0.09,0.24,0.18,0.17,0.18,0.00,0.16
auto repair shop,0.12,0.19,0.06,0.12,0.12,0.06,0.25,0.11,0.12,0.19,0.19,0.12,0.06,0.06,0.25,0.06,0.19,0.19,0.12,0.12,0.25,0.11,0.12,0.12,0.06,0.12,0.12,0.25,0.12,0.12,0.19,0.12,0.12,0.12,0.19,0.12,0.19,0.06,0.12,0.19,0.06,0.06,0.06,0.15,0.06,0.17,0.06,0.17,0.12,0.25,0.19,0.06,0.11,0.15,0.12,0.06,0.19,0.12,0.12,0.12,0.13,0.06,0.18,0.06,0.17,0.12,0.12,0.19
laundry,0.00,0.18,0.10,0.10,0.00,0.14,0.14,0.11,0.15,0.14,0.10,0.00,0.29,0.19,0.09,0.13,0.11,0.18,0.22,0.00,0.10,0.11,0.20,0.14,0.14,0.14,0.14,0.14,0.14,0.27,0.00,0.14,0.24,0.14,0.29,0.00,0.12,0.12,0.00,0.43,0.00,0.00,0.00,0.10,0.20,0.17,0.07,0.17,0.17,0.25,0.19,0.12,0.11,0.15,0.14,0.12,0.25,0.00,0.13,0.00,0.09,0.09,0.18,0.18,0.14,0.09,0.00,0.13
dry cleaner,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.11,0.23,0.09,0.09,0.18,0.18,0.12,0.09,0.07,0.09,0.09,0.09,0.09,0.00,0.22,0.13,0.09,0.09,0.09,0.07,0.27,0.09,0.13,0.09,0.07,0.12,0.18,0.09,0.00,0.00,0.25,0.09,0.09,0.18,0.09,0.09,0.20,0.13,0.17,0.20,0.17,0.17,0.00,0.19,0.12,0.11,0.15,0.27,0.24,0.19,0.36,0.13,0.09,0.22,0.09,0.18,0.18,0.17,0.09,0.09,0.16
hair salon,0.10,0.18,0.00,0.10,0.20,0.20,0.20,0.17,0.15,0.20,0.20,0.10,0.10,0.31,0.09,0.13,0.10,0.09,0.20,0.20,0.10,0.22,0.13,0.30,0.30,0.00,0.29,0.10,0.20,0.20,0.20,0.21,0.24,0.30,0.20,0.10,0.10,0.19,0.00,0.20,0.00,0.10,0.10,0.20,0.20,0.17,0.27,0.17,0.17,0.20,0.25,0.19,0.28,0.25,0.20,0.24,0.12,0.10,0.20,0.10,0.13,0.18,0.29,0.12,0.14,0.09,0.20,0.16
barber shop,0.00,0.18,0.18,0.00,0.00,0.00,0.18,0.17,0.08,0.18,0.18,0.00,0.18,0.12,0.09,0.20,0.09,0.00,0.18,0.09,0.18,0.22,0.27,0.27,0.09,0.09,0.29,0.09,0.09,0.13,0.09,0.21,0.12,0.27,0.18,0.09,0.18,0.12,0.00,0.18,0.09,0.00,0.00,0.15,0.07,0.17,0.13,0.22,0.08,0.18,0.25,0.25,0.22,0.30,0.09,0.18,0.19,0.09,0.13,0.09,0.13,0.18,0.24,0.12,0.10,0.00,0.09,0.13
beauty salon,0.08,0.08,0.08,0.00,0.25,0.08,0.25,0.22,0.15,0.25,0.25,0.17,0.17,0.31,0.08,0.07,0.08,0.25,0.08,0.17,0.17,0.28,0.20,0.25,0.25,0.08,0.14,0.25,0.08,0.13,0.25,0.21,0.18,0.33,0.08,0.08,0.08,0.12,0.00,0.25,0.08,0.17,0.25,0.20,0.20,0.17,0.27,0.22,0.17,0.25,0.19,0.19,0.22,0.25,0.08,0.18,0.06,0.08,0.13,0.08,0.17,0.08,0.18,0.12,0.17,0.00,0.17,0.16
spa,0.33,0.09,0.10,0.20,0.43,0.14,0.33,0.11,0.23,0.00,0.10,0.17,0.00,0.06,0.27,0.13,0.11,0.18,0.11,0.00,0.10,0.11,0.00,0.14,0.14,0.00,0.07,0.20,0.00,0.13,0.29,0.14,0.12,0.20,0.25,0.00,0.12,0.06,0.00,0.14,0.00,0.25,0.11,0.10,0.00,0.06,0.13,0.06,0.17,0.12,0.12,0.12,0.11,0.10,0.17,0.06,0.06,0.00,0.13,1.00,0.04,0.09,0.06,0.00,0.07,0.09,0.00,0.03
daycare center,0.00,0.21,0.07,0.14,0.07,0.07,0.14,0.17,0.07,0.07,0.14,0.14,0.14,0.12,0.14,0.00,0.21,0.14,0.29,0.14,0.14,0.11,0.07,0.14,0.21,0.07,0.14,0.21,0.07,0.27,0.14,0.07,0.12,0.21,0.14,0.00,0.21,0.06,0.07,0.14,0.21,0.14,0.07,0.15,0.20,0.17,0.20,0.17,0.29,0.00,0.12,0.25,0.11,0.15,0.21,0.18,0.19,0.21,0.13,0.07,0.22,0.07,0.18,0.12,0.17,0.36,0.14,0.13
kindergarten,0.08,0.33,0.17,0.33,0.08,0.25,0.17,0.11,0.08,0.17,0.00,0.08,0.08,0.12,0.42,0.07,0.33,0.08,0.25,0.17,0.08,0.11,0.13,0.08,0.25,0.08,0.21,0.25,0.25,0.13,0.17,0.14,0.18,0.25,0.17,0.00,0.17,0.19,0.08,0.25,0.17,0.25,0.08,0.15,0.13,0.11,0.07,0.17,0.08,0.00,0.19,0.06,0.11,0.05,0.25,0.12,0.19,0.17,0.07,0.08,0.17,0.08,0.12,0.12,0.17,0.08,0.17,0.23
playground,0.10,0.09,0.00,0.10,0.00,0.10,0.10,0.17,0.23,0.20,0.10,0.10,0.20,0.12,0.09,0.13,0.20,0.09,0.10,0.10,0.00,0.11,0.13,0.20,0.30,0.10,0.21,0.20,0.10,0.20,0.30,0.07,0.24,0.20,0.30,0.10,0.20,0.12,0.00,0.10,0.00,0.20,0.00,0.10,0.07,0.11,0.13,0.11,0.08,0.10,0.19,0.12,0.17,0.15,0.20,0.24,0.12,0.10,0.13,0.10,0.09,0.09,0.29,0.06,0.14,0.09,0.10,0.10
youth center,0.00,0.17,0.08,0.08,0.08,0.08,0.17,0.17,0.08,0.08,0.17,0.25,0.08,0.19,0.17,0.07,0.08,0.08,0.08,0.25,0.08,0.11,0.07,0.00,0.08,0.17,0.07,0.33,0.08,0.20,0.17,0.14,0.12,0.17,0.00,0.08,0.00,0.12,0.17,0.17,0.17,0.00,0.08,0.20,0.27,0.22,0.13,0.11,0.17,0.17,0.12,0.19,0.17,0.15,0.17,0.18,0.19,0.17,0.13,0.00,0.22,0.08,0.06,0.18,0.14,0.25,0.25,0.16
elderly care home,0.06,0.18,0.12,0.12,0.06,0.12,0.12,0.11,0.12,0.12,0.12,0.06,0.06,0.29,0.24,0.12,0.18,0.12,0.12,0.12,0.12,0.11,0.18,0.18,0.06,0.12,0.18,0.12,0.06,0.18,0.12,0.12,0.06,0.12,0.12,0.06,0.18,0.06,0.06,0.12,0.18,0.18,0.12,0.20,0.12,0.28,0.18,0.11,0.12,0.12,0.24,0.12,0.17,0.20,0.18,0.12,0.06,0.18,0.06,0.06,0.22,0.18,0.06,0.12,0.14,0.18,0.12,0.16
shelter,0.14,0.27,0.30,0.10,0.29,0.00,0.14,0.17,0.15,0.00,0.10,0.14,0.00,0.12,0.27,0.13,0.11,0.18,0.00,0.43,0.20,0.11,0.13,0.00,0.00,0.00,0.14,0.43,0.00,0.20,0.14,0.14,0.12,0.14,0.00,0.00,0.00,0.06,0.00,0.14,0.29,0.12,0.11,0.10,0.20,0.11,0.13,0.11,0.25,0.00,0.06,0.12,0.11,0.10,0.14,0.12,0.19,0.29,0.07,0.14,0.09,0.09,0.12,0.12,0.14,0.27,0.43,0.06
hotel,0.00,0.18,0.30,0.00,0.29,0.00,0.33,0.22,0.08,0.17,0.10,0.17,0.00,0.12,0.09,0.07,0.00,0.09,0.00,1.00,0.20,0.11,0.07,0.00,0.00,0.17,0.07,0.00,0.00,0.13,0.00,0.07,0.06,0.20,0.00,0.20,0.00,0.12,0.14,0.29,0.17,0.00,0.11,0.10,0.13,0.11,0.13,0.11,0.08,0.25,0.00,0.06,0.11,0.10,0.00,0.06,0.12,0.14,0.07,0.00,0.09,0.18,0.06,0.12,0.10,0.27,1.00,0.10
tourist information center,0.12,0.23,0.19,0.15,0.12,0.12,0.08,0.19,0.19,0.12,0.12,0.12,0.08,0.15,0.23,0.12,0.12,0.23,0.12,0.12,0.15,0.15,0.12,0.08,0.12,0.08,0.12,0.15,0.12,0.23,0.23,0.15,0.15,0.12,0.04,0.08,0.08,0.31,0.08,0.12,0.12,0.15,0.15,0.15,0.15,0.19,0.19,0.15,0.23,0.15,0.19,0.19,0.15,0.15,0.15,0.19,0.15,0.15,0.15,0.08,0.23,0.12,0.15,0.15,0.10,0.27,0.12,0.35
